,ISO3_Code,Country_Name,M49_Code,Year,Life_Expectancy,Mean_Years_Of_Schooling,CPI_Food,Net_FDI,Prevalence_of_undernourishment,GNI,Population,Govt_Expenditure
135,CHL,Chile,152.0,2016,80.0794,10.42321491,104.5233,3836.168964,3.1,242625.276471,18083.879,63313.60837
136,CHL,Chile,152.0,2017,80.3501,10.59051991,107.0929,2604.278544,2.9,265577.081089,18368.577,70461.03721
137,CHL,Chile,152.0,2018,80.1334,10.76136507,110.1873,6450.385411,2.7,284105.29792,18701.45,75708.65559
138,CHL,Chile,152.0,2019,80.3263,10.9349663,114.3097,3247.162005,2.6,269285.892259,19039.485,73761.4677
139,CHL,Chile,152.0,2020,79.3769,10.9349663,123.0354,-3196.84402,2.6,242004.997363,19300.315,73894.36289
140,HKG,"China, Hong Kong SAR",344.0,2016,84.539,12.09660006,104.514294,57684.17663,1.5,328903.475152,7435.927,
141,HKG,"China, Hong Kong SAR",344.0,2017,84.8988,12.16905022,106.43787,23980.62426,1.5,356069.162416,7461.519,
142,HKG,"China, Hong Kong SAR",344.0,2018,85.2456,12.19762993,110.41326,22044.39625,1.5,378890.60407,7481.555,
143,HKG,"China, Hong Kong SAR",344.0,2019,85.2735,12.22620964,125.288914,20512.08557,1.5,384049.005115,7496.122,
144,HKG,"China, Hong Kong SAR",344.0,2020,85.1968,12.22620964,128.623112,17005.12424,1.5,368577.910986,7500.958,
145,COL,Colombia,170.0,2016,76.4713,8.221500397,112.482,9331.0,6.0,279762.593447,47625.955,87829.99819
146,COL,Colombia,170.0,2017,76.6456,8.362985134,113.0231,10147.13215,5.9,306184.599947,48351.671,98297.42908
147,COL,Colombia,170.0,2018,76.7479,8.504469872,115.13,6408.802152,6.2,325604.326338,49276.961,103558.9846
148,COL,Colombia,170.0,2019,76.7523,8.643030167,121.8075,11094.92219,7.2,316298.767097,50187.406,102080.5834
149,COL,Colombia,170.0,2020,74.7692,8.862859726,127.6561,5724.090215,8.2,265364.125614,50930.662,
150,COG,Congo,178.0,2016,63.5765,6.124,97.303491,1601.236924,26.4,9761.682589,5186.824,2777.184766
151,COG,Congo,178.0,2017,63.76,6.138,98.72583,4372.020131,28.3,9467.402985,5312.34,
152,COG,Congo,178.0,2018,64.0531,6.152,97.762748,4301.636044,29.3,11381.945036,5441.062,
153,COG,Congo,178.0,2019,62.7467,6.166,102.808461,3343.439176,29.9,9828.337256,5570.733,
154,COG,Congo,178.0,2020,63.7852,6.166,101.593885,3988.358114,31.6,8641.68383,5702.174,
155,CRI,Costa Rica,188.0,2016,79.4592,8.564390182,99.55278,2127.035025,3.6,56365.195527,4945.205,17706.47135
156,CRI,Costa Rica,188.0,2017,79.3769,8.643780231,103.0246,2652.093384,3.2,57352.915855,4993.842,17067.71927
157,CRI,Costa Rica,188.0,2018,79.4835,8.72317028,103.3305,2283.145638,3.2,59010.024236,5040.734,19180.5552
158,CRI,Costa Rica,188.0,2019,79.4272,8.763615131,103.8196,2631.191771,3.4,60211.825988,5084.532,20494.44956
159,CRI,Costa Rica,188.0,2020,79.277,8.804059982,107.7201,1623.994024,3.4,58035.89196,5123.105,20922.2629
160,HRV,Croatia,191.0,2016,78.2314,11.78733331,99.5,2211.724337,1.5,51197.25293,4223.751,24489.34217
161,HRV,Croatia,191.0,2017,78.0832,11.92040895,101.7,1264.379074,1.5,55924.434062,4192.467,25106.68358
162,HRV,Croatia,191.0,2018,78.337,12.05498697,102.2,970.585942,1.5,61854.186683,4160.485,28259.2001
163,HRV,Croatia,191.0,2019,78.7376,12.19108434,104.3,1168.408197,1.5,62139.251548,4129.752,28527.74654
164,HRV,Croatia,191.0,2020,77.9845,12.19108434,103.4,1068.568348,1.5,57105.494833,4096.869,
165,CYP,Cyprus,196.0,2016,81.0563,12.08658028,100.78,2238.61659,1.5,20104.307275,1197.881,7842.062527
166,CYP,Cyprus,196.0,2017,81.328,12.18473005,96.47,744.238096,1.5,22124.021596,1208.523,8355.009016
167,CYP,Cyprus,196.0,2018,81.382,12.28287983,98.5,5591.122985,1.5,24547.572738,1218.831,10896.43107
168,CYP,Cyprus,196.0,2019,81.397,12.36152506,100.27,5946.380562,1.5,24555.673373,1228.836,9980.003308
169,CYP,Cyprus,196.0,2020,81.3905,12.44017029,100.64,2307.321422,1.5,23188.865404,1237.537,
170,CZE,Czechia,203.0,2016,78.9967,12.73709011,100.8,7632.962874,1.5,183030.984148,10527.591,69102.07685
171,CZE,Czechia,203.0,2017,78.9557,12.78682041,106.4,1961.671529,1.5,206250.524034,10531.305,77007.97104
172,CZE,Czechia,203.0,2018,79.0039,12.8280654,105.8,2347.807863,1.5,235280.883881,10534.593,99578.7988
173,CZE,Czechia,203.0,2019,79.2433,12.86931038,110.9,5980.25424,1.5,237234.462384,10536.871,93428.1586
174,CZE,Czechia,203.0,2020,78.5746,12.86931038,110.8,3150.153362,1.5,236796.716968,10530.953,104491.5415
175,CIV,Côte d'Ivoire,384.0,2016,58.0599,4.921027531,100.23522,549.220086,6.9,46887.632,24213.622,
176,CIV,Côte d'Ivoire,384.0,2017,58.4805,5.013731346,103.126809,298.983969,6.0,50051.962748,24848.016,
177,CIV,Côte d'Ivoire,384.0,2018,58.8494,5.106435161,103.930573,475.678486,5.2,55808.698804,25493.988,
178,CIV,Côte d'Ivoire,384.0,2019,59.3185,5.199138977,107.557312,816.170219,4.7,56975.780141,26147.551,
179,CIV,Côte d'Ivoire,384.0,2020,59.0318,5.199138977,110.586129,350.473618,4.4,59385.372172,26811.79,
180,COD,Democratic Republic of the Congo,180.0,2016,59.0664,6.75948,109.950799,932.374669,36.0,39610.898531,81430.977,
181,COD,Democratic Republic of the Congo,180.0,2017,59.4114,6.889088258,116.044473,1047.979483,36.4,36964.397474,84283.273,
182,COD,Democratic Republic of the Congo,180.0,2018,59.9417,7.018696516,117.852991,1407.563588,36.3,46296.746664,87087.355,
183,COD,Democratic Republic of the Congo,180.0,2019,60.2757,7.018696516,119.661508,1354.128941,37.7,46467.245041,89906.89,
184,COD,Democratic Republic of the Congo,180.0,2020,59.7392,7.018696516,121.470025,1498.084808,39.8,44491.530801,92853.164,
185,DNK,Denmark,208.0,2016,80.8803,13.16281986,100.9,-9875.187917,1.5,320812.594567,5706.857,164307.0844
186,DNK,Denmark,208.0,2017,81.1112,13.011765,102.9,-5769.44338,1.5,339391.058128,5737.284,167885.6407
187,DNK,Denmark,208.0,2018,80.99,12.86071014,102.7,1567.948914,1.5,366754.681199,5766.686,180391.4121
188,DNK,Denmark,208.0,2019,81.4337,12.91060019,103.6,-7816.839987,1.5,357603.732015,5795.878,172408.3071
189,DNK,Denmark,208.0,2020,81.5449,12.96049023,103.8,-3244.039576,1.5,368105.773887,5825.641,191751.0677
190,DJI,Djibouti,262.0,2016,62.1908,4.07,108.327675,3457.305457080882,13.6,2761.25916,1023.261,
191,DJI,Djibouti,262.0,2017,62.7966,4.07,106.936486,204.8675045481483,13.5,2890.25376,1040.233,
192,DJI,Djibouti,262.0,2018,63.0381,4.0,110.019595,3746.793297962964,13.1,3021.269984,1057.198,
193,DJI,Djibouti,262.0,2019,63.0854,4.1,117.519103,1648.6662224962963,13.1,3076.953279,1073.994,
194,DJI,Djibouti,262.0,2020,62.6943,4.1,118.879304,1284.4077504545455,13.5,3326.824501,1090.156,
195,DMA,Dominica,212.0,2016,70.1284,8.017922938,100.277671,41.107778,5.4,558.666667,70.075,
196,DMA,Dominica,212.0,2017,67.5253,8.059343959,100.692414,-2.152963,5.7,485.544444,70.403,
197,DMA,Dominica,212.0,2018,73.59,8.100764979,102.838259,-37.216296,5.7,551.940741,70.823,
198,DMA,Dominica,212.0,2019,73.5588,8.142186,104.650506,32.509877,6.5,601.01351,71.428,
199,DMA,Dominica,212.0,2020,73.649,8.142186,104.497231,25.129679,6.9,521.502862,71.995,
200,DOM,Dominican Republic,214.0,2016,72.9867,9.044050217,102.703904,3457.305457080882,6.8,72429.413768,10527.592,
201,DOM,Dominican Republic,214.0,2017,73.0629,8.936204255,108.375097,204.8675045481483,6.2,76204.051092,10647.244,
202,DOM,Dominican Republic,214.0,2018,73.2323,9.106114462,108.344358,3746.793297962964,6.1,81709.993761,10765.531,
203,DOM,Dominican Republic,214.0,2019,73.5767,9.306864107,116.067323,1648.6662224962963,7.0,84666.276952,10881.882,
204,DOM,Dominican Republic,214.0,2020,72.8894,9.306864107,125.775809,1284.4077504545455,6.7,75054.873994,10999.664,
205,ECU,Ecuador,218.0,2016,76.7634,8.692919731,102.056869,3457.305457080882,9.7,98028.639,16439.585,
206,ECU,Ecuador,218.0,2017,76.9725,8.765919685,101.812931,204.8675045481483,10.7,101858.207,16696.944,
207,ECU,Ecuador,218.0,2018,77.0938,8.782986323,101.142593,3746.793297962964,11.6,104605.438,17015.672,
208,ECU,Ecuador,218.0,2019,77.2971,8.800052961,100.51045,1648.6662224962963,13.7,104934.502,17343.74,
209,ECU,Ecuador,218.0,2020,72.1535,8.817119598,100.451819,1284.4077504545455,15.4,95950.843,17588.595,
210,EGY,Egypt,818.0,2016,70.8435,8.806776914,134.431459,7900.2,4.6,268606.139226,99784.03,86237.35032
211,EGY,Egypt,818.0,2017,71.3019,9.04570961,168.258855,7209.7,4.9,191353.592958,101789.386,54817.49824
212,EGY,Egypt,818.0,2018,71.3669,9.305633501,187.105598,7817.8,4.9,243470.52394,103740.765,67941.59219
213,EGY,Egypt,818.0,2019,71.3575,9.573026174,190.438451,8605.0,5.0,305831.02047,105618.671,84911.78264
214,EGY,Egypt,818.0,2020,70.9905,9.573026174,195.77547,5525.3,5.1,357759.598795,107465.134,99913.80944
215,SLV,El Salvador,222.0,2016,72.0248,6.717559814,97.625201,347.852922,9.9,22945.05,6250.51,6078.8
216,SLV,El Salvador,222.0,2017,72.3108,6.825099945,100.057369,888.844522,9.2,23591.57,6266.654,6741.4
217,SLV,El Salvador,222.0,2018,72.5546,6.968569994,100.421334,826.046956,8.4,24550.760684,6276.342,6930.7
218,SLV,El Salvador,222.0,2019,72.5586,7.112040043,101.622361,635.763348,8.3,25559.26894,6280.217,9476.8
219,SLV,El Salvador,222.0,2020,71.0609,7.150929928,102.001016,201.18375,7.7,23324.947553,6292.731,8543.5
220,EST,Estonia,233.0,2016,77.8201,13.51035023,100.8273,572.485336,1.5,23521.431129,1315.926,9477.618441
221,EST,Estonia,233.0,2017,77.976,13.55548,107.2426,1061.397564,1.5,26262.26315,1317.549,10561.27635
222,EST,Estonia,233.0,2018,78.1395,13.65631008,109.1138,1439.710943,1.5,29849.333808,1322.148,12033.57217
223,EST,Estonia,233.0,2019,78.6693,13.60237026,112.3214,1104.045129,1.5,30466.722679,1327.039,12252.31267
224,EST,Estonia,233.0,2020,78.3431,13.54843044,112.1076,2937.470837,1.5,30367.796388,1329.444,
225,SWZ,Eswatini,748.0,2016,56.6591,5.194,121.538901,28.517081,13.0,3610.861906,1142.524,
226,SWZ,Eswatini,748.0,2017,57.8951,5.328,124.729533,-121.494111,12.4,4106.520368,1151.39,
227,SWZ,Eswatini,748.0,2018,59.4114,5.462,125.360303,46.987009,11.8,4344.881182,1160.428,
228,SWZ,Eswatini,748.0,2019,60.5492,5.596,128.711027,108.013607,11.1,4018.204741,1169.613,
229,SWZ,Eswatini,748.0,2020,59.6922,5.596,133.329266,55.242453,11.0,3631.088663,1180.655,
230,ETH,Ethiopia,231.0,2016,64.3919,2.681135178,107.258998,3457.305457080882,14.4,71921.940614,105293.228,
