,Area Code (M49),Area,Unit,Total FDI inflows 2016,Total FDI inflows 2017,Total FDI inflows 2018,Total FDI inflows 2019,Total FDI inflows 2020,Total FDI outflows 2016,Total FDI outflows 2017,Total FDI outflows 2018,Total FDI outflows 2019,Total FDI outflows 2020,Net FDI 2016,Net FDI 2017,Net FDI 2018,Net FDI 2019,Net FDI 2020
156,682,Saudi Arabia,millions,7452.533333,1418.843614,4247.119093,4562.573671,5486.095693,0.0,0.0,0.0,0.0,0.0,7452.533333,1418.843614,4247.119093,4562.573671,5486.095693
157,686,Senegal,millions,472.409796,588.292998,847.841575,1065.46282,1480.500726,0.0,0.0,0.0,0.0,0.0,472.409796,588.292998,847.841575,1065.46282,1480.500726
158,688,Serbia,millions,2352.016562,2878.291575,4090.505675,4269.812527,3439.793434,0.0,0.0,0.0,0.0,0.0,2352.016562,2878.291575,4090.505675,4269.812527,3439.793434
159,690,Seychelles,millions,155.238,191.947661,119.523531,143.741856,122.294836,0.0,0.0,0.0,0.0,0.0,155.238,191.947661,119.523531,143.741856,122.294836
160,694,Sierra Leone,millions,137.965734,128.88345,217.812919,367.7,348.7,,,,,,,,,,
161,702,Singapore,millions,70221.273208,84670.982599,75968.719835,114161.849287,90561.858666,0.0,0.0,0.0,0.0,0.0,70221.273208,84670.982599,75968.719835,114161.849287,90561.858666
162,534,Sint Maarten (Dutch part),millions,54.709962,64.248297,-196.625698,58.93959,25.299934,0.0,0.0,0.0,0.0,0.0,54.709962,64.248297,-196.625698,58.93959,25.299934
163,703,Slovakia,millions,805.90078,4016.770767,1675.084894,2448.710806,-1929.725205,0.0,0.0,0.0,0.0,0.0,805.90078,4016.770767,1675.084894,2448.710806,-1929.725205
164,705,Slovenia,millions,1245.942087,897.753076,1384.172995,1226.621691,529.099659,0.0,0.0,0.0,0.0,0.0,1245.942087,897.753076,1384.172995,1226.621691,529.099659
165,90,Solomon Islands,millions,38.607527,42.8399,24.838211,32.808616,9.13347,0.0,0.0,0.0,0.0,0.0,38.607527,42.8399,24.838211,32.808616,9.13347
166,706,Somalia,millions,330.0,369.0,408.0,447.0,464.0,,,,,,,,,,
167,710,South Africa,millions,2235.001472,2008.360978,5449.554014,5124.986962,3106.48726,0.0,0.0,0.0,0.0,0.0,2235.001472,2008.360978,5449.554014,5124.986962,3106.48726
168,728,South Sudan,millions,-7.85,1.42,60.14,-231.84,17.5,,,,,,,,,,
169,724,Spain,millions,31569.396294,41966.313078,53494.91953,8514.725572,8928.407175,0.0,0.0,0.0,0.0,0.0,31569.396294,41966.313078,53494.91953,8514.725572,8928.407175
170,144,Sri Lanka,millions,897.049,1372.723,1614.044,758.187,433.869416,0.0,0.0,0.0,0.0,0.0,897.049,1372.723,1614.044,758.187,433.869416
171,729,Sudan,millions,1063.767535,1065.298481,1135.787164,825.354992,716.939711,,,,,,,,,,
172,740,Suriname,millions,299.987,98.2,119.191,-19.5,-27.10426,,,,,,,,,,
173,752,Sweden,millions,19140.760501,15900.131713,4221.446536,10112.335673,26109.330317,0.0,0.0,0.0,0.0,0.0,19140.760501,15900.131713,4221.446536,10112.335673,26109.330317
174,756,Switzerland,millions,150467.364466,110723.032259,-68313.413963,-79077.278703,-47171.937969,0.0,0.0,0.0,0.0,0.0,150467.364466,110723.032259,-68313.413963,-79077.278703,-47171.937969
175,762,Tajikistan,millions,345.407057,307.029681,359.617602,212.809731,106.534793,0.0,0.0,0.0,0.0,0.0,345.407057,307.029681,359.617602,212.809731,106.534793
176,764,Thailand,millions,2491.280295,7874.923355,11144.488574,3063.020525,-6099.734518,0.0,0.0,0.0,0.0,0.0,2491.280295,7874.923355,11144.488574,3063.020525,-6099.734518
177,626,Timor-Leste,millions,5.479,6.716,47.926,74.58,72.378586,,,,,,,,,,
178,768,Togo,millions,-46.308336,88.560066,-183.387577,345.696967,639.483236,0.0,0.0,0.0,0.0,0.0,-46.308336,88.560066,-183.387577,345.696967,639.483236
179,776,Tonga,millions,8.846123,13.780786,15.047474,12.558128,-0.467915,0.0,0.0,0.0,0.0,0.0,8.846123,13.780786,15.047474,12.558128,-0.467915
180,780,Trinidad and Tobago,millions,-23.598182,-470.9,-700.185701,183.972765,-438.711033,0.0,0.0,0.0,0.0,0.0,-23.598182,-470.9,-700.185701,183.972765,-438.711033
181,788,Tunisia,millions,884.996951,880.78779,1035.941738,844.796934,652.121814,0.0,0.0,0.0,0.0,0.0,884.996951,880.78779,1035.941738,844.796934,652.121814
182,792,Türkiye,millions,13651.0,10965.0,12840.0,9290.0,7880.0,0.0,0.0,0.0,0.0,0.0,13651.0,10965.0,12840.0,9290.0,7880.0
183,795,Turkmenistan,millions,2243.16,2085.944135,1997.297379,2129.436528,1169.442175,,,,,,,,,,
184,796,Turks and Caicos Islands,millions,16.59,22.068,42.227,26.961667,30.418889,,,,,,,,,,
185,798,Tuvalu,millions,0.3,0.3,0.298862,0.298862,0.1,,,,,,,,,,
186,800,Uganda,millions,625.704362,802.704141,1055.353353,1258.885586,822.589738,0.0,0.0,0.0,0.0,0.0,625.704362,802.704141,1055.353353,1258.885586,822.589738
187,804,Ukraine,millions,3809.651871,3692.0,4454.969953,5860.41434,-868.0,0.0,0.0,0.0,0.0,0.0,3809.651871,3692.0,4454.969953,5860.41434,-868.0
188,784,United Arab Emirates,millions,9604.773,10354.223,10385.286,17874.659401,19884.468665,0.0,0.0,0.0,0.0,0.0,9604.773,10354.223,10385.286,17874.659401,19884.468665
189,826,United Kingdom of Great Britain and Northern Ireland,millions,258698.675452,96353.831501,65299.413501,45454.371398,19724.358974,0.0,0.0,0.0,0.0,0.0,258698.675452,96353.831501,65299.413501,45454.371398,19724.358974
190,834,United Republic of Tanzania,millions,864.04,937.7,971.576866,990.626174,1012.626174,,,,,,,,,,
191,840,United States of America,millions,459419.0,295296.0,223401.0,261412.0,156321.0,0.0,0.0,0.0,0.0,0.0,459419.0,295296.0,223401.0,261412.0,156321.0
192,858,Uruguay,millions,-1825.327407,-600.678582,163.486037,1836.946845,2629.798334,0.0,0.0,0.0,0.0,0.0,-1825.327407,-600.678582,163.486037,1836.946845,2629.798334
193,860,Uzbekistan,millions,1662.586807,1797.341436,624.686535,2316.482962,1725.688329,0.0,0.0,0.0,0.0,0.0,1662.586807,1797.341436,624.686535,2316.482962,1725.688329
194,548,Vanuatu,millions,43.939156,38.248639,37.471066,35.133027,29.560294,0.0,0.0,0.0,0.0,0.0,43.939156,38.248639,37.471066,35.133027,29.560294
195,862,Venezuela (Bolivarian Republic of),millions,1068.0,-68.0,886.0,934.0,958.666667,0.0,0.0,0.0,0.0,0.0,1068.0,-68.0,886.0,934.0,958.666667
196,704,Viet Nam,millions,12600.0,14100.0,15500.0,16120.0,15800.0,0.0,0.0,0.0,0.0,0.0,12600.0,14100.0,15500.0,16120.0,15800.0
197,887,Yemen,millions,-561.0,-269.85,-282.098333,-370.982778,0.0,0.0,0.0,0.0,0.0,0.0,-561.0,-269.85,-282.098333,-370.982778,0.0
198,894,Zambia,millions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,716,Zimbabwe,millions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,434,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
