,Country,M49_Code,Total_FDI_Inflows_2016,Total_FDI_Inflows_2017,Total_FDI_Inflows_2018,Total_FDI_Inflows_2019,Total_FDI_Inflows_2020,Total_FDI_Outflows_2016,Total_FDI_Outflows_2017,Total_FDI_Outflows_2018,Total_FDI_Outflows_2019,Total_FDI_Outflows_2020,Net_FDI_2016,Net_FDI_2017,Net_FDI_2018,Net_FDI_2019,Net_FDI_2020
56,Djibouti,262,159.998875,165.001125,170.003376,222.0,240.0,,,,,,,,,,
57,Dominica,212,41.154815,-2.112222,-37.178148,32.551852,25.210223,0.047037,0.040741,0.038148,0.041975,0.080544,41.107777999999996,-2.152963,-37.216296,32.509876999999996,25.129679
58,Dominican Republic,214,2406.7,3570.7,2535.3,3021.0,2554.3,,,,,,,,,,
59,Ecuador,218,755.954868,624.469412,1388.175763,961.518496,1016.949293,,,,,,,,,,
60,Egypt,818,8106.8,7408.7,8141.3,9010.0,5851.8,206.6,199.0,323.5,405.0,326.5,7900.2,7209.7,7817.8,8605.0,5525.3
61,El Salvador,222,347.424796,889.072922,826.009559,636.168174,200.463777,-0.428126,0.2284,-0.037397,0.404826,-0.719973,347.85292200000004,888.844522,826.046956,635.7633480000001,201.18375
62,Equatorial Guinea,226,53.998813,304.827249,396.07778,452.287112,529.894746,,,,,,,,,,
63,Eritrea,232,52.305,55.468,61.015,67.116,73.828,,,,,,,,,,
64,Estonia,233,1059.409595,1942.39331,1497.755249,3091.332008,3155.933563,486.924259,880.995746,58.044306,1987.286879,218.462726,572.4853360000001,1061.3975639999999,1439.710943,1104.0451289999999,2937.470837
65,Eswatini,748,21.384868,-56.010183,36.474449,130.221496,40.919495,-7.132213,65.483928,-10.51256,22.207889,-14.322958,28.517081,-121.494111,46.987009,108.01360700000001,55.242453
66,Ethiopia,231,4142.937496,4017.1,3310.3,2548.8,2395.375577,,,,,,,,,,
67,Fiji,242,389.841027,386.185942,470.973182,321.006409,240.547214,-16.422399,-1.644991,-3.640928,-36.011966,13.648069,406.263426,387.830933,474.61411,357.018375,226.899145
68,Finland,246,8582.210932,2864.234475,-2171.245625,13611.694482,2574.691331,24276.637666,-573.773455,11454.73634,4865.23762,6604.19157,-15694.426733999999,3438.00793,-13625.981964999999,8746.456862000001,-4029.500239
69,France,250,23077.217684,24832.525615,38185.013203,33964.866402,17932.487042,64847.892453,35984.681601,105635.283169,38663.302272,44203.00946,-41770.674769000005,-11152.155985999998,-67450.26996599999,-4698.435870000001,-26270.522418
70,French Polynesia,258,61.575789,79.265984,63.418521,25.381059,55.666725,24.245498,15.441375,-28.264125,4.343634,-2.425404,37.330291,63.824609,91.682646,21.037425,58.092129
71,Gabon,266,1243.66016,1314.02933,1379.070816,1553.136875,1716.511506,45.3,-83.709,-62.928333,-33.779111,,1198.36016,1397.7383300000001,1441.999149,1586.915986,
