,ISO3_Code,Country_Name,M49_Code,Life_Expectancy_2016,Life_Expectancy_2017,Life_Expectancy_2018,Life_Expectancy_2019,Life_Expectancy_2020,Life_Expectancy_Avg,Mean_Years_Of_Schooling_2016,Mean_Years_Of_Schooling_2017,Mean_Years_Of_Schooling_2018,Mean_Years_Of_Schooling_2019,Mean_Years_Of_Schooling_2020,Mean_Years_of_Schooling_Avg,CPI_Food_2016,CPI_Food_2017,CPI_Food_2018,CPI_Food_2019,CPI_Food_2020,CPI_Food_Avg,Total_FDI_Inflows_2016,Total_FDI_Inflows_2017,Total_FDI_Inflows_2018,Total_FDI_Inflows_2019,Total_FDI_Inflows_2020,Total_FDI_Outflows_2016,Total_FDI_Outflows_2017,Total_FDI_Outflows_2018,Total_FDI_Outflows_2019,Total_FDI_Outflows_2020,Net_FDI_2016,Net_FDI_2017,Net_FDI_2018,Net_FDI_2019,Net_FDI_2020,Prevalence_of_undernourishment_2016,Prevalence_of_undernourishment_2017,Prevalence_of_undernourishment_2018,Prevalence_of_undernourishment_2019,Prevalence_of_undernourishment_2020
45,FJI,Fiji,242,67.2395,67.7904,67.8096,67.8933,67.9244,67.7314399999999,10.49146872,10.63035965,10.77497021,10.92154799,10.92154799,10.747978912,104.045442,101.181806,106.336351,109.295441,109.963623,106.164532599999,389.841027,386.185942,470.973182,321.006409,240.547214,-16.422399,-1.644991,-3.640928,-36.011966,13.648069,406.263426,387.830933,474.61411,357.018375,226.899145,6.3,6.2,5.5,4.9,5.7
46,FRA,France,250,82.4372,82.4732,82.5909,82.7315,82.2104,82.48864,11.35085964,11.40970039,11.50988007,11.61005974,11.61005974,11.498111916,100.73,102.18,104.85,107.01,108.21,104.596,23077.21768,24832.52562,38185.0132,33964.8664,17932.48704,64847.89245,35984.6816,105635.2832,38663.30227,44203.00946,-41770.67477,-11152.15599,-67450.26997,-4698.43587,-26270.52242,1.5,1.5,1.5,1.5,1.5
47,GAB,Gabon,266,65.8025,66.1889,66.3064,66.6028,66.5305,66.28622,9.094,9.208,9.322,9.436,9.436,9.2992,100.193024,97.952898,104.745253,107.114183,108.096933,103.6204582,1243.66016,1314.02933,1379.070816,1553.136875,1716.511506,45.3,-83.709,-62.928333,-33.779111,,1198.36016,1397.73833,1441.999149,1586.915986,,15.1,16.1,17.0,16.6,17.2
48,GBR,United Kingdom of Great Britain and Northern Ireland,826,81.0747,81.1684,81.1254,81.725,80.4345,81.1056,13.07054679,13.16133022,13.24292692,13.32452361,13.4061203,13.241089568,97.9,101.9,102.6,104.3,102.9,101.92,258698.6755,96353.8315,65299.4135,45454.3714,19724.35897,-37605.82207,142373.0341,41424.51556,-6080.835285,-33408.97436,296304.4975,-46019.20255,23874.89794,51535.20668,53133.33333,1.5,1.5,1.5,1.5,1.5
49,GEO,Georgia,268,73.5692,73.5701,73.3414,73.4696,72.7653,73.34312,12.81457043,12.87436008,12.84828997,12.82221985,12.82221985,12.8363320359999,103.633275,111.227323,113.078113,127.035973,135.646876,118.124312,1652.577348,1978.281581,1306.290006,1310.773789,616.865566,407.172888,269.427512,340.190787,281.53472,22.860725,1245.40446,1708.854069,966.099219,1029.239069,594.004841,8.3,8.1,7.8,7.8,7.6
50,GHA,Ghana,288,63.8902,64.0131,64.122,64.7401,64.114,64.17588,7.919448013,8.056260907,8.193073801,8.329886695,8.329886695,8.16571122219999,109.687808,118.456337,128.767478,136.06047,155.174325,129.6292836,3485.3,3255.0,2989.0,3879.0,1877.0,14.7,15.9,81.0,588.0,542.0,3470.6,3239.1,2908.0,3291.0,1335.0,7.7,7.1,6.2,5.2,4.1
51,GMB,Gambia,270,63.0127,62.9955,63.04,63.7549,62.6125,63.0831199999999,4.02814688,4.180482013,4.332817146,4.485152279,4.637487411,4.3328171458,112.652111,120.875693,128.593068,138.418569,147.797522,129.6673926,-27.7,18.444836,51.94,43.93,45.72,-1.4,2.361578,0.480789,0.480789,1.107719,-26.3,16.083258,51.459211,43.449211,44.612281,11.6,12.2,13.1,18.0,21.6
52,GRC,Greece,300,81.1617,80.8501,81.3907,81.2489,80.9092,81.1121199999999,10.25430012,10.54285765,10.83141518,11.11997271,11.40853024,10.8314151799999,99.25755,99.73506,100.1118,100.4421,101.2292,100.155142,2765.153451,3484.859714,3973.265169,5019.347114,3572.02383,-1667.034554,168.384441,476.872241,641.593748,702.774599,4432.188005,3316.475273,3496.392928,4377.753366,2869.249231,1.5,1.5,1.5,1.5,1.5
53,GTM,Guatemala,320,72.3547,72.5506,72.7257,73.1289,71.7969,72.51136,5.774713993,5.74357605,5.712438107,5.681300163,5.681300163,5.7186656952,112.8665,126.804669,132.698445,140.599917,152.80262,133.154430199999,1174.37206,1130.01766,980.65193,974.7093,915.17363,209.3761,195.95124,202.78968,175.26971,210.68,964.99596,934.06642,777.86225,799.43959,704.49363,16.4,16.3,16.2,16.3,16.0
54,HKG,"China, Hong Kong SAR",344,84.539,84.8988,85.2456,85.2735,85.1968,85.03074,12.09660006,12.16905022,12.19762993,12.22620964,12.22620964,12.183139898,104.514294,106.43787,110.41326,125.288914,128.623112,115.05549,117386.969,110684.5026,104245.7103,73714.02734,119229.3661,59702.79236,86703.87836,82201.31403,53201.94178,102224.2418,57684.17663,23980.62426,22044.39625,20512.08557,17005.12424,1.5,1.5,1.5,1.5,1.5
