ISO3_Code,Country_Name,M49_Code,Life_Expectancy_2016,Life_Expectancy_2017,Life_Expectancy_2018,Life_Expectancy_2019,Life_Expectancy_2020,Life_Expectancy_Avg,Mean_Years_Of_Schooling_2016,Mean_Years_Of_Schooling_2017,Mean_Years_Of_Schooling_2018,Mean_Years_Of_Schooling_2019,Mean_Years_Of_Schooling_2020,Mean_Years_of_Schooling_Avg
MNE,Montenegro,499.0,76.7462,76.9388,77.1595,77.0396,76.2575,76.82831999999999,11.83377704,11.94692704,12.06115893,12.17648306,12.17648306,12.038965826
MNG,Mongolia,496.0,69.8647,70.2375,71.1992,71.8221,72.141,71.05290000000001,9.670928192,9.609121227,9.547314262,9.485507298,9.423700333,9.5473142624
MOZ,Mozambique,508.0,59.038,59.7709,60.5261,61.1662,61.1722,60.33467999999999,3.126510024,3.064209938,3.130214992,3.197641838,3.197641838,3.1432437259999992
MRT,Mauritania,478.0,64.7679,65.0827,65.31,65.6869,64.5321,65.07592,4.577192976,4.691063614,4.804934252,4.918804891,4.918804891,4.7821601248
MUS,Mauritius,480.0,75.0114,74.8812,74.9194,75.1179,74.3306,74.85210000000001,9.666950539,9.914224809,10.16782419,10.42791048,10.42791048,10.1209640996
MWI,Malawi,454.0,62.2093,62.9769,63.2758,64.1188,63.7167,63.2595,4.210832318,4.303786674,4.396741029,4.489695385,4.489695385,4.3781501582
MYS,Malaysia,458.0,75.2888,75.4763,75.6444,75.7603,75.9378,75.62152,10.36651039,10.45936012,10.55220985,10.64505959,10.64505959,10.533639908000001
NAM,Namibia,516.0,61.6825,62.2931,62.5859,63.075,62.829,62.493100000000005,7.037678228,7.089123245,7.140568261,7.192013277,7.192013277,7.1302792576
NER,Niger,562.0,61.6288,62.1599,62.4544,62.8967,61.4506,62.11808,1.882464437,1.960548724,2.038633011,2.116717299,2.116717299,2.0230161539999996
NGA,Nigeria,566.0,52.0427,52.3052,52.5536,52.9104,52.887,52.53977999999999,6.436573823,6.697552363,6.958530903,7.181074153,7.181074153,6.890961079
NIC,Nicaragua,558.0,73.2562,73.5536,73.8497,74.0543,71.7954,73.30184,6.796,6.912,7.028,7.144,7.144,7.0048
NLD,Netherlands,528.0,81.547,81.7291,81.7741,82.0455,81.6381,81.74676,12.18412018,12.25356531,12.32301044,12.4523201,12.58162975,12.358929155999999
NOR,Norway,578.0,82.4147,82.624,82.7605,82.9552,83.1951,82.78989999999999,12.81906033,12.94715977,12.97539473,13.00362968,13.00362968,12.949774838
NPL,Nepal,524.0,68.7758,68.9099,68.9786,69.5576,69.2456,69.09349999999999,4.652394104,4.808860316,4.965326529,5.121792742,5.121792742,4.9340332866
NRU,Nauru,520.0,62.7018,62.988,63.2337,63.4845,63.4367,63.16894,,,,,,
NZL,New Zealand,554.0,82.07,82.2189,82.3803,82.5665,82.7419,82.39552,13.33483982,13.2373023,13.13976479,13.04222727,12.94468975,13.139764785999997
OMN,Oman,512.0,77.9158,77.9243,77.9659,78.0022,74.7571,77.31306,9.968448448,10.38984642,10.81124439,11.23264236,11.65404034,10.8112443916
PAK,Pakistan,586.0,65.8797,66.2972,66.482,66.7558,66.2695,66.33684,5.162640095,5.115049839,4.825690031,4.536330223,4.536330223,4.8352080822
