Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Namibia,NAM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.496,3.447,3.396,3.344,3.293
Nauru,NRU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Nepal,NPL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.027,1.967,1.917,1.876,1.845
Netherlands,NLD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.66,1.62,1.59,1.57,1.55
New Caledonia,NCL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.08,1.97,1.97,1.94,1.923
New Zealand,NZL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.87,1.81,1.71,1.72,1.61
Nicaragua,NIC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.455,2.43,2.404,2.377,2.349
Niger,NER,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.087,7.001,6.913,6.824,6.735
Nigeria,NGA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.526,5.457,5.387,5.317,5.248
North Macedonia,MKD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.5,1.43,1.42,1.34,1.3
Northern Mariana Islands,MNP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Norway,NOR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.71,1.62,1.56,1.53,1.48
Oman,OMN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.937,2.92,2.888,2.842,2.783
Pakistan,PAK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.612,3.562,3.51,3.454,3.394
Palau,PLW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Panama,PAN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.514,2.487,2.461,2.437,2.415
Papua New Guinea,PNG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.657,3.61,3.564,3.52,3.477
Paraguay,PRY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.479,2.453,2.429,2.405,2.383
Peru,PER,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.297,2.275,2.254,2.233,2.212
Philippines,PHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.718,2.64,2.576,2.526,2.49
Poland,POL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.39,1.48,1.46,1.44,1.38
Portugal,PRT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.36,1.38,1.42,1.43,1.4
Puerto Rico,PRI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.2425,1.101,1.035,0.982,0.9
Qatar,QAT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.907,1.886,1.866,1.846,1.827
Romania,ROU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.69,1.71,1.76,1.77,1.6
Russian Federation,RUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.762,1.621,1.579,1.504,1.505
Rwanda,RWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.123,4.088,4.044,3.99,3.926
Samoa,WSM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.976,3.926,3.877,3.83,3.785
San Marino,SMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Sao Tome and Principe,STP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.426,4.374,4.321,4.267,4.214
Saudi Arabia,SAU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.435,2.373,2.319,2.275,2.238
Senegal,SEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.77,4.697,4.625,4.556,4.491
Serbia,SRB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.46,1.49,1.49,1.52,1.48
Seychelles,SYC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.39,2.41,2.41,2.36,2.29
Sierra Leone,SLE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.457,4.359,4.263,4.169,4.077
Singapore,SGP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.2,1.16,1.14,1.14,1.1
Sint Maarten (Dutch part),SXM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Slovak Republic,SVK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.48,1.52,1.54,1.57,1.57
Slovenia,SVN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.58,1.62,1.6,1.61,1.6
Solomon Islands,SLB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.452,4.434,4.403,4.361,4.309
Somalia,SOM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.265,6.168,6.072,5.978,5.885
South Africa,ZAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.457,2.43,2.405,2.381,2.358
South Sudan,SSD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.855,4.775,4.696,4.619,4.543
Spain,ESP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.34,1.31,1.26,1.23,1.23
Sri Lanka,LKA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.211,2.206,2.199,2.188,2.174
St. Kitts and Nevis,KNA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
St. Lucia,LCA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.461,1.448,1.436,1.424,1.411
St. Martin (French part),MAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.81,1.81,1.81,1.81,1.81
St. Vincent and the Grenadines,VCT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.931,1.911,1.891,1.872,1.854
Sudan,SDN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.532,4.469,4.407,4.347,4.289
Suriname,SUR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.469,2.443,2.418,2.394,2.371
Sweden,SWE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.85,1.78,1.76,1.71,1.66
Switzerland,CHE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.54,1.52,1.52,1.48,1.46
Syrian Arab Republic,SYR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.889,2.847,2.808,2.771,2.734
Tajikistan,TJK,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.618,3.606,3.585,3.556,3.52
Tanzania,TZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.015,4.953,4.892,4.832,4.773
Thailand,THA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.537,1.532,1.525,1.514,1.501
Timor-Leste,TLS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.156,4.093,4.023,3.943,3.853
Togo,TGO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.449,4.384,4.32,4.259,4.199
Tonga,TON,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.636,3.595,3.556,3.518,3.481
Trinidad and Tobago,TTO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.753,1.739,1.725,1.711,1.699
Tunisia,TUN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.238,2.219,2.197,2.174,2.151
Turkiye,TUR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.092,2.081,2.069,2.055,2.039
Turkmenistan,TKM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.887,2.836,2.786,2.74,2.701
Turks and Caicos Islands,TCA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Tuvalu,TUV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,..,..,..,..
Uganda,UGA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.242,5.095,4.955,4.824,4.703
Ukraine,UKR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.466,1.374,1.301,1.228,1.217
United Arab Emirates,ARE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.491,1.448,1.413,1.387,1.369
United Kingdom,GBR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.79,1.74,1.68,1.63,1.56
United States,USA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.8205,1.7655,1.7295,1.706,1.6375
Uruguay,URY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.991,1.983,1.973,1.963,1.952
Uzbekistan,UZB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.455,2.419,2.604,2.785,2.9
Vanuatu,VUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.859,3.82,3.782,3.744,3.707
"Venezuela, RB",VEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.317,2.294,2.272,2.25,2.23
Vietnam,VNM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.03,2.042,2.049,2.05,2.046
Virgin Islands (U.S.),VIR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.09,2.08,2.06,2.05,2.03
West Bank and Gaza,PSE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.844,3.738,3.643,3.56,3.489
"Yemen, Rep.",YEM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.994,3.89,3.792,3.7,3.614
Zambia,ZMB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.814,4.718,4.633,4.559,4.496
Zimbabwe,ZWE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.804,3.707,3.615,3.531,3.46
Africa Eastern and Southern,AFE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.56967466737875,4.49374422084546,4.42026391586983,4.34943581971978,4.28185576301786
Africa Western and Central,AFW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.25167418988035,5.18239107484279,5.11300261660126,5.04414441407213,4.9765459267046
Arab World,ARB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.32243727942994,3.27648746292235,3.23100110132061,3.18715713514644,3.14575669988306
