Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Honduras,HND,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,13.6253370917885,12.8039920729091,13.9100603931875,11.9843232214637,23.821771914659
"Hong Kong SAR, China",HKG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Hungary,HUN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Iceland,ISL,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
"Iran, Islamic Rep.",IRN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,2.20112497345704,0.451657376541216,0.183424695243728,0.463694844013058,0.863415480583671
Iraq,IRQ,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Ireland,IRL,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Isle of Man,IMN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Israel,ISR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Jamaica,JAM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,40.5155551272863,27.2739763754631,20.2233283977791,36.4401181622189,51.2188008162802
Jordan,JOR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,17.1503390780725,12.3017188255286,13.9594675064526,19.1684449648542,27.5826229059375
Kazakhstan,KAZ,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,46.1688512379812,49.635570933461,48.2218534781167,47.8947336229982,56.2637603248471
Kenya,KEN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,11.1602629537617,14.6073624197205,23.7172059190077,38.3757841900304,27.8411689544957
Kiribati,KIR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
"Korea, Dem. People's Rep.",PRK,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Kosovo,XKX,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,11.9693291156961,8.70864820872869,10.5091974977418,9.7964534904303,18.6355078611828
Kuwait,KWT,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Kyrgyz Republic,KGZ,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,27.8457897326836,22.3970789484822,20.3011896410114,24.1709285224129,25.5907606890666
Lao PDR,LAO,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,10.6880901967025,12.7103194841906,13.436702272892,7.23151025370934,15.7967640776657
Latvia,LVA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Lebanon,LBN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,71.0030562079369,74.7198756446427,74.915967316152,87.0535754543791,127.480369113244
Lesotho,LSO,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,3.93824345620034,3.33741809484507,3.73666594201616,4.45034770060379,5.15919221475324
Liberia,LBR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,3.04265906817061,3.35252148704175,4.41026504931633,7.11688444593265,11.0044452925024
Libya,LBY,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Liechtenstein,LIE,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Lithuania,LTU,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Luxembourg,LUX,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
"Macao SAR, China",MAC,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Madagascar,MDG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,3.59422507426469,3.15351573453436,2.68311884498423,2.84403784588269,4.71693402930766
Malawi,MWI,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,6.37693829577603,6.71493980241493,7.18468387024143,7.46878856286072,9.18830603890756
Malaysia,MYS,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Maldives,MDV,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,4.55098477762274,5.02109664869557,12.2589201781399,12.172374908762,15.900374922182
Mali,MLI,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,3.51625992026355,4.02406247094933,4.41403177282481,..,..
Malta,MLT,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Marshall Islands,MHL,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Mauritania,MRT,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,15.0234089816701,15.7224162833562,17.4077668621601,14.0699583199837,9.93179259722905
Mauritius,MUS,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,12.8246385696914,17.0027429525005,22.5421046392528,20.8495133282352,26.2782793736134
"Micronesia, Fed. Sts.",FSM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Moldova,MDA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,12.7579882880505,10.9953775222624,13.7171691189525,13.5133757577957,17.4958748335683
Monaco,MCO,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Mongolia,MNG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,25.889444831652,53.8377828585687,97.9366198626202,133.104934600408,23.8056687497684
Montenegro,MNE,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,61.132181442708,49.9014853601825,62.7243300054276,55.3007582167421,102.255948343275
Morocco,MAR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,11.0649774260592,10.0456268136466,9.02976644908818,9.27834951237973,13.4902774998359
Mozambique,MOZ,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,12.507754722323,8.12436042069556,8.77840810659367,14.7605527918418,33.9886980317823
Myanmar,MMR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,5.53948205304109,4.43392061260198,4.92654373252499,3.72374168776908,..
Namibia,NAM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Nauru,NRU,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Nepal,NPL,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,9.29925073721298,8.48049668523619,7.22410958183493,8.25373775152271,12.0803678190085
New Caledonia,NCL,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
New Zealand,NZL,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Nicaragua,NIC,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,15.8946382508851,19.7236234458106,18.9665333156367,19.7144041929263,22.4849683243886
Niger,NER,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,8.3244228687535,8.5996469960907,7.86858681735937,9.21078493076306,..
Nigeria,NGA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,6.27742685232409,6.74529094790613,7.88436213048042,7.10205626371167,13.3600927959246
North Macedonia,MKD,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,15.5347192329527,13.6826233589413,16.5619409432056,9.05451200134167,15.7543067582939
Northern Mariana Islands,MNP,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Norway,NOR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Oman,OMN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Pakistan,PAK,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,15.699359489805,22.435953374301,19.1486704726628,35.3053393343956,32.3820629347834
Palau,PLW,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Panama,PAN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,24.4933723939605,14.9172764947456,16.3978987634848,15.6448357494862,31.3431298503393
Papua New Guinea,PNG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,39.8726885527703,27.1044758023161,26.1492570704638,20.1024561037217,14.1497957718071
Paraguay,PRY,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,10.6863030707547,12.4644412231806,15.84033988842,10.2772750987585,6.00626948995714
Peru,PER,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,17.5799665948473,20.508908459633,12.2317683757044,11.3309498198344,13.365596652998
Philippines,PHL,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,13.1666298997847,11.5247304574351,8.5957903758296,9.71522536414274,10.1267010256166
Poland,POL,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Portugal,PRT,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Puerto Rico,PRI,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Qatar,QAT,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Romania,ROU,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,22.3641453121393,21.6253384932072,20.3952664103588,17.804037907944,20.3886554216234
Rwanda,RWA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,14.5634730953585,12.7068520868692,12.7530652658762,14.3137505848254,14.6191002954554
Samoa,WSM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,8.95265277567305,9.0112119035571,9.92836645191259,8.8228125030091,18.6836703955324
San Marino,SMR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Sao Tome and Principe,STP,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,2.55436559298371,4.05794957432791,4.72743808968521,11.6966692104798,4.27311259832139
Senegal,SEN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,9.57949597967564,14.3529211652845,15.1841920367141,..,..
Serbia,SRB,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,29.4410630011294,21.6285350585186,21.6517664730856,25.6434723050474,19.2492284780433
Seychelles,SYC,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Sierra Leone,SLE,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,5.07742910463107,7.72671391589464,8.20076036348643,8.89865413921707,..
Singapore,SGP,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Sint Maarten (Dutch part),SXM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Slovak Republic,SVK,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Slovenia,SVN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..
Solomon Islands,SLB,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,3.84741879254234,4.03754127013228,5.59922565767047,2.55397449727688,1.85804135278607
Somalia,SOM,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,0.00494637773722628,0.00327061320754717,0.00535729148753224,0.0542342990654206,..
